symbol,instrument_key
Chambal Fertilizers & Chemicals Ltd,NSE_EQ|INE085A01013
Chennai Petroleum Corporation Ltd,NSE_EQ|INE178A01016
Choice International Ltd,NSE_EQ|INE102B01014
Cholamandalam Financial Holdings Ltd,NSE_EQ|INE149A01033
Cholamandalam Investment and Finance Company Ltd,NSE_EQ|INE121A01024
Cipla Ltd,NSE_EQ|INE059A01026
City Union Bank Ltd,NSE_EQ|INE491A01021
Clean Science and Technology Ltd,NSE_EQ|INE227W01023
Coal India Ltd,NSE_EQ|INE522F01014
Cochin Shipyard Ltd,NSE_EQ|INE704P01025
Coforge Ltd,NSE_EQ|INE591G01025
Cohance Lifesciences Ltd,NSE_EQ|INE03QK01018
Colgate Palmolive (India) Ltd,NSE_EQ|INE259A01022
Computer Age Management Services Ltd,NSE_EQ|INE596I01020
Concord Biotech Ltd,NSE_EQ|INE338H01029
Container Corporation of India Ltd,NSE_EQ|INE111A01025
Coromandel International Ltd,NSE_EQ|INE169A01031
Craftsman Automation Ltd,NSE_EQ|INE00LO01017
CreditAccess Grameen Ltd,NSE_EQ|INE741K01010
Crompton Greaves Consumer Electricals Ltd,NSE_EQ|INE299U01018
Cummins India Ltd,NSE_EQ|INE298A01020
Cyient Ltd,NSE_EQ|INE136B01020
DCM Shriram Ltd,NSE_EQ|INE499A01024
DLF Ltd,NSE_EQ|INE271C01023
DOMS Industries Ltd,NSE_EQ|INE321T01012
Dabur India Ltd,NSE_EQ|INE016A01026
Dalmia Bharat Ltd,NSE_EQ|INE00R701025
Data Patterns (India) Ltd,NSE_EQ|INE0IX101010
Deepak Fertilisers & Petrochemicals Corp Ltd,NSE_EQ|INE501A01019
Deepak Nitrite Ltd,NSE_EQ|INE288B01029
Delhivery Ltd,NSE_EQ|INE148O01028
Devyani International Ltd,NSE_EQ|INE872J01023
Divi's Laboratories Ltd,NSE_EQ|INE361B01024
Dixon Technologies (India) Ltd,NSE_EQ|INE935N01020
Dr Agarwal's Health Care Ltd,NSE_EQ|INE943P01029
Dr Lal Path Labs Ltd,NSE_EQ|INE600L01024
Dr Reddy's Laboratories Ltd,NSE_EQ|INE089A01031
EID Parry (India) Ltd,NSE_EQ|INE126A01031
EIH Ltd,NSE_EQ|INE230A01023
Eicher Motors Ltd,NSE_EQ|INE066A01021
Elecon Engineering Co Ltd,NSE_EQ|INE205B01031
Elgi Equipments Ltd,NSE_EQ|INE285A01027
Emami Ltd,NSE_EQ|INE548C01032
