symbol,instrument_key
Welspun Living Ltd,NSE_EQ|INE192B01031
Whirlpool of India Ltd,NSE_EQ|INE716A01013
Wipro Ltd,NSE_EQ|INE075A01022
Wockhardt Ltd,NSE_EQ|INE049B01025
Yes Bank Ltd,NSE_EQ|INE528G01035
ZF Commercial Vehicle Control Systems India Ltd,NSE_EQ|INE342J01019
Zee Entertainment Enterprises Ltd,NSE_EQ|INE256A01028
Zen Technologies Ltd,NSE_EQ|INE251B01027
Zensar Technolgies Ltd,NSE_EQ|INE520A01027
Zydus Lifesciences Ltd,NSE_EQ|INE010B01027
eClerx Services Ltd,NSE_EQ|INE738I01010
