instrument_id,instrument_key,symbol,series,exchange,company_name,sector,isin_code,is_active
1023,NSE_EQ|INE00U401027,UNIECOM,EQ,NSE,UNICOMMERCE ESOLUTIONS L,Others,INE00U401027,True
2053,NSE_EQ|INE037A01022,UNIENTER,EQ,NSE,UNIPHOS ENTERPRISES LTD,Others,INE037A01022,True
6639,NSE_EQ|INE0PRF01011,UNIHEALTH,ST,NSE,UNIHEALTH HOSPITALS LTD,Others,INE0PRF01011,True
8144,NSE_EQ|INE481Z01011,UNIINFO,BE,NSE,UNIINFO TELECOM SERVI LTD,Others,INE481Z01011,True
6871,NSE_EQ|INE0B2801011,UNILEX,SM,NSE,UNILEX COLOURS AND CHEM L,Others,INE0B2801011,True
1269,NSE_EQ|INE0U3I01011,UNIMECH,EQ,NSE,UNIMECH AEROSPACE N MFG L,Others,INE0U3I01011,True
472,NSE_EQ|INE692A01016,UNIONBANK,EQ,NSE,UNION BANK OF INDIA,Bank,INE692A01016,True
745,NSE_EQ|INF582M01KS4,UNIONGOLD,EQ,NSE,UNIONAMC - UNIONGOLD,Others,INF582M01KS4,True
2403,NSE_EQ|INE244O01017,UNIPARTS,EQ,NSE,UNIPARTS INDIA LIMITED,Others,INE244O01017,True
1102,NSE_EQ|INE854D01024,UNITDSPR,EQ,NSE,UNITED SPIRITS LIMITED,Others,INE854D01024,True
1938,NSE_EQ|INE694A01020,UNITECH,EQ,NSE,UNITECH LTD,Others,INE694A01020,True
9177,NSE_EQ|INE368U01029,UNITEDPOLY,BE,NSE,UNITED POLYFAB GUJ. LTD.,Others,INE368U01029,True
1670,NSE_EQ|INE458F01011,UNITEDTEA,EQ,NSE,UNITED NILGIRI TEA LTD,Others,INE458F01011,True
4420,NSE_EQ|INE275F01019,UNIVAFOODS,BE,NSE,UNIVA FOODS LIMITED,Others,INE275F01019,True
1125,NSE_EQ|INE562X01013,UNIVASTU,EQ,NSE,UNIVASTU INDIA LIMITED,Others,INE562X01013,True
1097,NSE_EQ|INE279A01012,UNIVCABLES,EQ,NSE,UNIVERSAL CABLES LTD,Others,INE279A01012,True
